price_reference_id,department,aisle,product_keyword,market_item,estimated_price_usd,unit,source_name,source_url,source_period,source_accessed_at,confidence,usage_notes
1,bakery,bread,white bread,"Bread, white, pan",1.869,per lb,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,high,"Use for bread and similar bakery staple products."
2,bakery,bread,whole wheat bread,"Bread, whole wheat, pan",2.735,per lb,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,high,"Use for whole wheat bread and similar bakery staple products."
3,bakery,cookies cakes,cookies,"Cookies, chocolate chip",5.182,per lb,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,medium,"Use as proxy for cookies and packaged sweet bakery items."
4,dry goods pasta,grains rice dried goods,rice,"Rice, white, long grain, uncooked",1.076,per lb,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,high,"Use for rice and similar dry grain products."
5,dry goods pasta,pasta,pasta,"Spaghetti and macaroni",1.343,per lb,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,high,"Use for pasta and macaroni products."
6,pantry,baking ingredients,flour,"Flour, white, all purpose",0.543,per lb,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,high,"Use for flour and basic baking ingredients."
7,canned goods,canned meals beans,beans,"Beans, dried, any type",1.705,per lb,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,medium,"Use for beans and similar shelf-stable legumes."
8,pantry,baking ingredients,sugar,"Sugar, white, all sizes",1.006,per lb,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,high,"Use for sugar and basic sweetener products."
9,meat seafood,meat counter,ground beef,"All uncooked ground beef",7.056,per lb,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,high,"Use for ground beef and similar beef products."
10,meat seafood,poultry counter,chicken breast,"Chicken breast, boneless",4.168,per lb,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,high,"Use for boneless chicken breast products."
11,meat seafood,poultry counter,chicken legs,"Chicken legs, bone-in",1.712,per lb,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,high,"Use for chicken legs and similar bone-in poultry products."
12,dairy eggs,milk,milk,"Milk, fresh, whole, fortified",4.136,per gal,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,high,"Use for whole milk and similar dairy milk products."
13,dairy eggs,eggs,eggs,"Eggs, grade A, large",2.250,per dozen,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,high,"Use for large egg products."
14,dairy eggs,packaged cheese,cheddar cheese,"Cheddar cheese, natural",6.029,per lb,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,high,"Use for cheddar and similar natural cheese products."
15,dairy eggs,packaged cheese,american cheese,"American processed cheese",4.690,per lb,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,high,"Use for processed cheese products."
16,frozen,ice cream ice,ice cream,"Ice cream, prepackaged, bulk, regular",6.240,per half gal,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,high,"Use for ice cream and similar frozen dessert products."
17,produce,fresh fruits,bananas,"Bananas",0.654,per lb,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,high,"Use for bananas."
18,produce,fresh fruits,oranges,"Oranges, Navel",1.504,per lb,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,high,"Use for oranges and similar citrus products."
19,produce,fresh fruits,lemons,"Lemons",2.032,per lb,U.S. Bureau of Labor Statistics - Average Retail Food and Energy Prices,https://www.bls.gov/regions/mid-atlantic/data/averageretailfoodandenergyprices_usandmidwest_table.htm,Apr 2026,2026-05-17,high,"Use for lemons and similar citrus products."
